order_item_id,order_id,product_id,quantity,price
1,1,17,1,1281.37
2,1,12,1,1832.92
3,2,5,2,1690.66
4,2,10,1,2261.25
5,3,24,1,3157.13
6,4,14,1,1648.98
7,4,20,1,2546.09
8,5,7,2,2678.84
9,5,1,2,321.4
10,6,11,2,1140.8
11,6,20,2,2546.09
12,7,22,1,3060.54
13,7,13,2,2720.97
14,8,18,2,1284.73
15,8,13,1,2720.97
16,9,12,1,1832.92
17,9,25,2,1191.68
18,9,19,2,604.72
19,10,11,1,1140.8
20,10,17,1,1281.37
21,11,7,1,2678.84
22,12,9,2,2180.23
23,13,19,2,604.72
24,13,18,2,1284.73
25,14,12,1,1832.92
26,14,20,1,2546.09
27,14,25,2,1191.68
28,15,13,2,2720.97
29,16,12,2,1832.92
30,17,25,2,1191.68
31,18,19,2,604.72
32,19,19,2,604.72
33,19,3,2,1958.55
34,19,1,2,321.4
35,20,5,2,1690.66
36,21,22,1,3060.54
37,21,10,2,2261.25
38,21,4,2,2076.82
39,22,1,1,321.4
40,22,3,1,1958.55
41,22,13,1,2720.97
42,23,17,2,1281.37
43,24,16,2,2262.82
44,25,5,2,1690.66
45,25,6,2,845.39
46,25,19,1,604.72
47,26,22,2,3060.54
48,27,4,2,2076.82
49,27,15,2,883.51
50,27,2,1,2745.24
51,28,12,1,1832.92
52,29,18,1,1284.73
53,30,13,1,2720.97
54,30,15,1,883.51
55,30,12,1,1832.92
56,31,8,1,1491.38
57,31,17,2,1281.37
58,31,10,1,2261.25
59,32,18,1,1284.73
60,33,2,1,2745.24
61,33,7,2,2678.84
62,33,3,2,1958.55
63,34,12,2,1832.92
64,35,13,1,2720.97
65,35,5,2,1690.66
66,35,1,2,321.4
67,36,25,2,1191.68
68,36,13,1,2720.97
69,36,19,1,604.72
70,37,23,1,302.76
71,37,5,1,1690.66
72,37,24,1,3157.13
73,38,13,1,2720.97
74,38,9,2,2180.23
75,39,25,2,1191.68
76,39,19,2,604.72
77,40,5,1,1690.66
78,41,12,1,1832.92
79,42,5,2,1690.66
80,42,1,1,321.4
81,42,18,1,1284.73
82,43,12,2,1832.92
83,43,7,1,2678.84
84,44,22,1,3060.54
85,44,24,2,3157.13
86,45,1,2,321.4
87,46,25,2,1191.68
88,47,6,1,845.39
89,47,20,2,2546.09
90,48,5,2,1690.66
91,48,24,2,3157.13
92,49,22,2,3060.54
93,50,21,2,831.95
94,50,19,2,604.72
95,50,24,2,3157.13
96,51,16,2,2262.82
97,51,15,1,883.51
98,51,10,2,2261.25
99,52,10,1,2261.25
100,52,6,2,845.39
101,53,10,1,2261.25
102,53,14,2,1648.98
103,53,19,1,604.72
104,54,5,1,1690.66
